country,name,age,height,weight
 Russia,Daria Malygina,24 ,2.02,82
China,Xinyue Yuan,22 ,2.01,78
China,Ting Zhu,24 ,1.98,78
Italy,Anna Danesi,22 ,1.98,78
Brazil,Menezes,31 ,1.96,79
 Russia,Irina Koroleva ,27 ,1.96,78
Italy,Marina Lubian,18 ,1.95,73
 Russia,Nataliya Goncharova,29 ,1.94,75
Italy,Cristina Chirichella,25 ,1.94,79
Italy,Sarah Luisa Fahr,17 ,1.94,84
China,Changning Zhang,23 ,1.93,80
America,Kimberly Hill,29 ,1.93,72
America,Karsta Lowe,26 ,1.93,75
Serbia,Milena Rasic,28 ,1.93,72
Serbia,Tijana Bo?kovic,22 ,1.93,82
 Russia,Olga Biryukova,24 ,1.93,74
Italy,Paola Ogechi Egonu,20 ,1.93,80
China,Hanyu Yang,19 ,1.92,72
China,Yingying Li,19 ,1.92,71
China,Ni Yan,32 ,1.92,74
Serbia,Jovana Stevanovic,26 ,1.92,72
 Russia,Ekaterina Efimova,25 ,1.92,70
America,Tetori Dixon,26 ,1.91,83
America,Foluke Akinradewo,31 ,1.91,79
America,Bartsch-Hackley,29 ,1.9,78
Serbia,Brankica Mihajlovic,27 ,1.9,83
Serbia,Stefana Veljkovic,29 ,1.9,76
Serbia,Ana Bjelica,26 ,1.9,78
 Russia,Irina Fetisova,24 ,1.9,76
 Russia,Irina Voronkova,23 ,1.9,84
Italy,Elena Pietrini,19 ,1.9,73
China,Xiaotong Liu,29 ,1.88,80
America,Rachael Adams,28 ,1.88,81
America,Jordan Larson,32 ,1.88,75
America,Kelly Murphy,29 ,1.88,79
America,Kelsey Robinson,26 ,1.88,73
Serbia,Maja Aleksic,21 ,1.88,72
 Russia,Lyubushkina,29 ,1.88,81
China,Mingyuan Hu,22 ,1.87,69
China,Chunlei Zeng,29 ,1.87,67
America,Lauren Gibbemeyer,30 ,1.87,71
Serbia,Bianka Busa,24 ,1.87,74
Brazil,Ana Beatriz Correa,27 ,1.87,70
Japan,Nana Iwasaka,28 ,1.87,75
Italy,Serena Ortolani,32 ,1.87,63
China,Xiangyu Gong,21 ,1.86,72
Serbia,Bojana Zivkovic,31 ,1.86,70
Japan,Erika Araki,34 ,1.86,81
America,Sarah Wilhite,23 ,1.85,75
America,Megan Courtney,25 ,1.85,61
Serbia,Tijana Malesevic,28 ,1.85,78
Serbia,Bojana Milenkovic,22 ,1.85,70
Brazil,Adenizia Da Silva,32 ,1.85,63
Brazil,Rosamaria Montibeller,24 ,1.85,76
Brazil,Roberta Silva Ratzke,28 ,1.85,71
 Russia,Evgeniya Startseva,30 ,1.85,68
 Russia,Anna Kotikova,19 ,1.85,71
Italy,Ofelia Malinov,23 ,1.85,70
Brazil,Tandara Caixeta,30 ,1.84,87
Italy,Miryam Fatime Sylla,24 ,1.84,80
Serbia,Maja Ognjenovic,34 ,1.83,67
Brazil, Silva,27 ,1.83,73
Brazil,Natalia Pereira,29 ,1.83,76
 Russia,Kseniia Parubets ,24 ,1.83,64
China,Di Yao,26 ,1.82,65
Brazil,Drussyla Costa,22 ,1.82,73
 Russia,Daria Talysheva,27 ,1.82,67
Japan,Haruyo Shimamura,27 ,1.82,78
Brazil,Danielle Lins,34 ,1.81,68
China,Xia Ding,29 ,1.8,67
America,Micha Hancock,26 ,1.8,76
America,Carli Lloyd,29 ,1.8,75
 Russia,Tatiana Romanova,24 ,1.8,69
Japan,Sarina Koga,22 ,1.8,67
Japan,Yuki Ishii,27 ,1.8,68
Japan,Ai Kurogo,20 ,1.8,69
Italy,Sylvia Chinelo Nwakalor,19 ,1.8,70
Brazil,Fernanda?Rodrigues,32 ,1.79,74
Japan,Miyu Nagaoka,27 ,1.79,64
Serbia,Silvija Popovic,33 ,1.78,65
 Russia,Alla Galkina,26 ,1.78,65
Italy,Lucia Bosetti,29 ,1.78,63
Japan,Mai Okumura,28 ,1.77,69
Italy,Carlotta Cambi,22 ,1.77,66
Brazil, Guimaraes,24 ,1.76,59
Brazil,Gabriella?Souza,25 ,1.75,69
Japan,Koyomi Tominaga,29 ,1.75,68
Italy,Monica De Gennaro,32 ,1.74,67
Japan,Risa Shinnabe,28 ,1.73,64
Japan,Kanami Tashiro,28 ,1.73,66
China,Mengjie Wang,23 ,1.72,65
China,Li Lin,26 ,1.71,65
Serbia,Teodora Pusic,26 ,1.7,58
Japan,Mami Uchiseto,27 ,1.7,74
Italy,Parrocchiale,23 ,1.68,59
Brazil,Suelen Pinto,31 ,1.66,81
Japan,Mako Kobata,26 ,1.64,56
Japan,Kotoe Inoue,29 ,1.62,55
